Artist,Title,Lyric,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
Katy Perry,Never Worn White,you love the hell out of me and heaven's where we could be i've stood on the?dge?f love but never?ook the leap and you took my?rmor off and did it delicately and i let my guard down to show you what's underneath  pre thank god that you were man enough to come answer my mama's prayers you asked the question i said yes but i'm scared   'cause i've never worn white but i wanna get it right yeah i really wanna try with you no i've never worn white but i'm standin' here tonight 'cause i really wanna say i do i do   see us in sixty years with a full family tree i do give my blood sweat and tears to reach our destiny i do 'cause love is a minefield let's take this war baby i do 'cause at the end of it all i choose you and you choose me i do  pre thank god i was woman enough to come answer your father's prayers you asked the question i could tell you were scared   'cause i've never worn white but i wanna get it right yeah i really wanna try with you no i've never worn white but i'm standin' here tonight 'cause i really wanna say i do   now let's dance with each other dance with each other mixing all of our colors it's so easy to surrender when you finally find forever   no i've never worn white no but i really wanna try with you yeah i've never worn white but i wanna get it right 'cause i really wanna say i do   'cause i do oh i do yeah yeah i do,0.023,0.017,0.022,0.019,0.012,0.007,0.029,0.066,0.011,0.005,0.006,0.003,0.002,0.011,0.002,0.002,0.002,0.014,0.86,0.002,0.007,0.002,0.005,0.002,0.001,0.009,0.017,0.089
Katy Perry,Last Friday Night (T.G.I.F.),there's a stranger in my bed there's a pounding in my head glitter all over the room pink flamingos in the pool i smell like a minibar dj's passed out in the yard barbies on the barbeque this a hickey or a bruise  pre pictures of last night ended up online i'm screwed oh well it's a blacked out blur but i'm pretty sure it ruled damn   last friday night yeah we danced on tabletops and we took too many shots think we kissed but i forgot last friday night yeah we maxed our credit cards and got kicked out of the bar so we hit the boulevard last friday night we went streaking in the park skinny dipping in the dark then had a m nage ? trois last friday night yeah i think we broke the law always say we're gonna stopop oh whoa  post but this friday night do it all again but this friday night do it all again   trying to connect the dots don't know what to tell my boss think the city towed my car chandelier is on the floor ripped my favorite party dress warrant's out for my arrest think i need a ginger ale that was such an epic fail  pre pictures of last night ended up online i'm screwed oh well it's a blacked out blur but i'm pretty sure it ruled damn   last friday night yeah we danced on tabletops and we took too many shots think we kissed but i forgot last friday night yeah we maxed our credit cards and got kicked out of the bar so we hit the boulevard last friday night we went streaking in the park skinny dipping in the dark then had a m nage ? trois last friday night yeah i think we broke the law always say we're gonna stopop oh whoa  post but this friday night do it all again do it all again this friday night do it all again do it all again this friday night   tgif tgif tgif tgif tgif tgif  saxophone    last friday night yeah we danced on tabletops and we took too many shots think we kissed but i forgot last friday night yeah we maxed our credit cards and got kicked out of the bar so we hit the boulevard last friday night we went streaking in the park skinny dipping in the dark then had a m nage ? trois last friday night yeah i think we broke the law always say we're gonna stopop oh whoa  post but this friday night do it all again  produced by dr luke and max martin,0.004,0.014,0.042,0.122,0.007,0.002,0.006,0.007,0.003,0.018,0.009,0.027,0.005,0.005,0.013,0.0,0.002,0.004,0.001,0.004,0.002,0.001,0.014,0.002,0.001,0.012,0.012,0.806
Katy Perry,Birthday,i heard you're feeling nothing's going right why don't you let me stop by the clock is ticking running out of time so we should party all night  pre  so cover your eyes i have a surprise i hope you got a healthy appetite if you wanna dance if you want it all you know that i'm the girl that you should call   boy when you're with me i'll give you a taste make it like your birthday every day i know you like it sweet so you can have your cake give you something good to celebrate  post so make a wish i'll make it like your birthday every day i'll be your gift give you something good to celebrate   pop your confetti pop your p rignon so hot and heavy 'til dawn i got you spinning like a disco ball all night they're playing your song  pre  we're living the life we're doing it right right you're never gonna be unsatisfied if you wanna dance if you want it all all you know that i'm the girl that you should call yeah   boy when you're with me i'll give you a taste make it like your birthday every day i know you like it sweet so you can have your cake give you something good to celebrate  post so make a wish i'll make it like your birthday every day i'll be i'll be your gift your gift give you something good to celebrate   happy birthday so let me get you in your birthday suit it's time to bring out the big balloons woo so let me get you in your birthday suit it's time to bring out the big big big big big big balloons   boy when you're with me i'll give you a taste oh baby i'll make it like your birthday every day i know you like it sweet so you can have your cake give you something good to celebrate celebrate now boy when you're with me i'll give you a taste celebrate now make it like your birthday every day woo i know you like it sweet so you can have your cake give you something good to celebrate  post so make a wish i'll make it like your birthday every day i'll be your gift give you something good to celebrate   happy birthday,0.001,0.007,0.033,0.286,0.027,0.007,0.016,0.051,0.009,0.03,0.025,0.011,0.008,0.014,0.003,0.0,0.002,0.009,0.001,0.004,0.009,0.001,0.045,0.003,0.001,0.007,0.011,0.636
Katy Perry,E.T.,you're so hypnotizing could you be the devil could you be an angel your touch magnetizing feels like i am floating leaves my body glowing they say be afraid you're not like the others futuristic lover different dna they don't understand you  pre you're from a whole 'nother world a different dimension you open my eyes and i'm ready to go lead me into the light   kiss me kikikiss me infect me with your lovin' fill me with your poison take me tatatake me wanna be your victim ready for abduction boy you're an alien your touch so foreign it's supernatural extraterrestrial   you're so supersonic wanna feel your powers stun me with your lasers your kiss is cosmic every move is magic  pre you're from a whole 'nother world a different dimension you open my eyes and i'm ready to go lead me into the light   kiss me kikikiss me infect me with your lovin' fill me with your poison take me tatatake me wanna be your victim ready for abduction boy you're an alien your touch so foreign it's supernatural extraterrestrial   this is transcendental on another level boy you're my lucky star i wanna walk on your wavelength and be there when you vibrate for you i'll risk it all all   kiss me kikikiss me infect me with your lovin' fill me with your poison take me tatatake me wanna be your victim ready for abduction boy you're an alien your touch so foreign it's supernatural extraterrestrial   extraterrestrial extraterrestrial boy you're an alien your touch so foreign it's supernatural extraterrestrial,0.007,0.015,0.044,0.125,0.009,0.003,0.007,0.006,0.003,0.011,0.024,0.018,0.002,0.003,0.011,0.0,0.001,0.003,0.001,0.002,0.005,0.001,0.008,0.001,0.0,0.004,0.011,0.759
Katy Perry,Harleys In Hawaii,boy tell me can you take my breath away cruisin' down a heartshaped highway got you swervin' lanetolane don't hit the brakes 'cause i'm feelin' so safe  pre i'll be your baby on a sunday oh why don't we get out of town call me your baby on the same wave oh no no there's no slowin' down   you and i i ridin' harleys in hawaiiii i'm on the back i'm holdin' tight i want you to take me for a ride ride when i hulahula hula so good you'll take me to the jewelerjeweler jeweler there's pink and purple in the skyyy we're ridin' harleys in hawaiiii ha   let me run my fingers through your salty hair go ahead explore the island vibes so real that you can feel it in the air i'm revvin' up your engine  pre i'll be your baby on a sunday oh why don't we get out of town why don't we get out of town call me your baby catch the same wave oh no no there's no slowin' down let's go   you and i i ridin' harleys in hawaiiii i'm on the back i'm holdin' tight i want you to take me for a ride ride when i hulahula hula so good you'll take me to the jewelerjeweler jeweler jeweler there's pink and purple in the skyyy we're ridin' harleys in hawaiiii   ahooh no no ooh   you and i you and i i ridin' harleys in hawaiiii i'm on the back i'm holdin' tight i want you to take me for a ride ride oh when i hulahula hula so good you'll take me to the jewelerjeweler jeweler jeweler there's pink and purple in the skyyy we're ridin' harleys in hawaiiii   i'll be your baby on a sunday ahooh oh woah we're ridin' harleys in hawaiii call me your baby catch the same wave ooh oh woah we're ridin' harleys in hawaiii,0.001,0.023,0.066,0.075,0.002,0.005,0.032,0.17,0.004,0.005,0.007,0.005,0.002,0.006,0.001,0.001,0.001,0.004,0.002,0.002,0.004,0.001,0.004,0.001,0.001,0.008,0.008,0.669
Katy Perry,Unconditionally,oh no did i get too close oh did i almost see what's really on the inside all your insecurities all the dirty laundry never made me blink one time   unconditional unconditionally i will love you unconditionally there is no fear now let go and just be free i will love you unconditionally   so come just as you are to me don't need apologies know that you are?worthy i'll take your bad days with your good walk through the storm i would i'd do it all because i love you i love you   unconditional unconditionally i will love you unconditionally there is no fear now let go and just be free i will love you unconditionally   so open up your heart and just let it begin open up your heart and just let it begin open up your heart and just let it begin open up your heart   acceptance is the key to be to be truly free will you do the same for me   unconditional unconditionally i will love you unconditionally and there is no fear now let go and just be free 'cause i will love you unconditionally oh yeah   i will love you unconditionally i will love you i will love you unconditionally  produced by max martin and dr luke,0.006,0.009,0.073,0.277,0.007,0.003,0.073,0.131,0.003,0.122,0.094,0.153,0.103,0.005,0.009,0.005,0.005,0.004,0.001,0.007,0.007,0.003,0.033,0.005,0.012,0.023,0.035,0.106
Katy Perry,Wide Awake,i'm wide awake i'm wide awake i'm wide awake   yeah i was in the dark i was falling hard with an open heart i'm wide awake how did i read the stars so wrong i'm wide awake and now it's clear to me that everything you see ain't always what it seems i'm wide awake yeah i was dreaming for so long  pre i wish i knew then what i know now wouldn't dive in wouldn't bow down gravity hurts you made it so sweet 'til i woke up on on the concrete   falling from cloud nine crashing from the high i'm letting go tonight yeah i'm falling from cloud nine   i'm wide awake not losing any sleep i picked up every piece and landed on my feet i'm wide awake need nothing to complete myself no i'm wide awake yeah i am born again out of the lion's den i don't have to pretend and it's too late the story's over now the end  pre i wish i knew then what i know now wouldn't dive in wouldn't bow down gravity hurts you made it so sweet 'til i woke up on on the concrete   falling from cloud nine it was out of the blue i'm crashing from the high i'm letting go tonight yeah i'm letting you go i'm i'm falling from cloud nine i'm wide awake   thunder rumbling castles crumbling i'm wide awake i am trying to hold on i'm wide awake god knows that i tried seeing the bright side i'm wide awake but i'm not blind anymore  interlude i'm wide awake i'm wide awake   yeah i'm falling from cloud nine it was out of the blue i'm crashing from the high you know i'm letting go tonight yeah i'm letting you go i'm i'm falling from cloud nine   i'm wide awake i'm wide awake i'm wide awake i'm wide awake i'm wide awake,0.007,0.018,0.011,0.022,0.025,0.033,0.012,0.007,0.006,0.059,0.006,0.011,0.01,0.03,0.067,0.006,0.011,0.033,0.011,0.026,0.008,0.007,0.035,0.009,0.013,0.656,0.012,0.257
Katy Perry,This is How We Do,this is how we do this is how we do ohoh   sipping on ros  silver lake sun coming up all lazy this is how we do slow cooking pancakes for my boy still up still fresh as a daisy ohoh playing ping pong all night long everything's all neon and hazy this is how we do chanel this chanel that hell yeah all my girls vintage chanel baby  pre it's no big deal it's no big deal it's no big deal this is no big deal   this is how we do yeah chilling laidback straight stunting yeah we do it like that this is how we do dodododo this is how we do this is how we do yeah chilling laidback straight stunting yeah we do it like that this is how we do dodododo this is how we do   big hoops and maroon lips my clique hopping in my maserati this is how we santa barbarachic at la super rica grabbing tacos checking out hotties ohoh now we talkin astrology getting our nails did all japanesey this is how we do day drinking at the wildcat sucking real bad at mariah careyoke ohoh  pre it's no big deal it's no big deal uhuh it's no big deal this is no big deal   this is how we do yeah chilling laidback straight stunting yeah we do it like that this is how we do dodododo this is how we do this is how we do yeah chilling laidback straight stunting yeah we do it like that this is how we do dodododo this is how we do  spoken  yo this one goes out to the ladies at breakfast in last night's dress its how we do straight stunting like that uhhuh i see you yo this goes out to all you kids that still have their cars at the club valet and it's tuesday its how we do straight stunting like that yo shoutout to all you kids buying bottle service with your rent money respect   this is how we do yeah chilling laidback straight stunting yeah we do it like that this is how we do dodododo this is how we do this is how we do yeah chilling laidback straight stunting yeah we do it like that this is how we do dodododo this is how we do  breakdown this is how we do this goes out to all you people going to bed with a 0 and waking up with a  this is how we do ha not me   until fade this is how we do yeah chilling laidback straight stunting yeah we do it like that this is how we do dodododo what wait no no no no bring the beat back that's right this is how we do uhoh this is how we do uhoh  produced by max martin and klas 疇hlund,0.024,0.005,0.004,0.02,0.056,0.004,0.002,0.002,0.007,0.007,0.002,0.002,0.001,0.026,0.001,0.002,0.001,0.029,0.003,0.001,0.012,0.002,0.044,0.002,0.001,0.002,0.006,0.797
Katy Perry,Hey Hey Hey,a big beautiful brain with a pretty face yeah a babydoll with a briefcase yeah a hot little hurricane ha 'cause i'm feminine and soft but i'm still a boss yeah red lipstick but still so raw yeah marilyn monroe in a monster truck  pre 'cause i can be zen and i can be the storm yeah smell like a rose and i pierce like a thorn yeah karate chopping the clich s and norms all in a dress   hey hey hey you think that i'm a little baby you think that i am fragile like a faberg  you think that i am cracking but you can't break me noooooh no way noooooh no way noooooh no way you think that i am cracking but you can't break me brbrbreak me   yeah i bounce back like a pro 'cause i'm so resilient lol at all your limits keep your penny thoughts i'm making a mint  pre 'cause i can be zen and i can be the storm yeah smell like a rose and i pierce like a thorn yeah karate chopping the clich s and norms all in a dress   hey hey hey you think that i'm a little baby you think that i am fragile like a faberg  you think that i am cracking but you can't break me noooooh no way noooooh no way noooooh no way you think that i am cracking but you can't break me uhuh brbrbreak me   i ain't got no strings no strings i'm no one's little puppet got my own chaching in my chubby little wallet and secretly you love it you fucking love it and secretly you love it   hey hey hey hey you think that i'm a little baby you think that i am fragile like a faberg  you think that i am cracking but you can't break me noooooh hey hey hey you think that i'm a little baby you think that i am fragile like a faberg  you think that i am cracking but you can't break me noooooh no way no noooooh no way no way noooooh no way uhuh oh you think that i am cracking but you can't break me uhuh brbrbreak me,0.941,0.03,0.002,0.004,0.036,0.004,0.005,0.005,0.004,0.005,0.006,0.004,0.002,0.009,0.004,0.01,0.001,0.011,0.05,0.002,0.014,0.003,0.004,0.002,0.001,0.002,0.006,0.022
Katy Perry,Part of Me,days like this i want to drive away pack my bags and watch your shadow fade you chewed me up and spit me out like i was poison in your mouth you took my light you drained me down but that was then and this is now now look at me   this is the part of me that youre never gonna ever take away from me no this is the part of me that youre never gonna ever take away from me no throw your sticks and your stones throw your bombs and your blows but youre not gonna break my soul this is the part of me that youre never gonna ever take away from me no   i just wanna throw my phone away find out who is really there for me you ripped me off your love was cheap was always tearing at the seams i fell deep you let me drown but that was then and this is now now look at me   this is the part of me that youre never gonna ever take away from me no this is the part of me that youre never gonna ever take away from me no throw your sticks and your stones throw your bombs and your blows but youre not gonna break my soul this is the part of me that youre never gonna ever take away from me no   now look at me im sparkling a firework a dancing flame you wont ever put me out again im glowing oh whoa so you can keep the diamond ring it don't mean nothing anyway in fact you can keep everything yeah yeah except for me   this is the part of me that youre never gonna ever take away from me no this is the part of me that youre never gonna ever take away from me no away from me throw your sticks and your stones throw your bombs and your blows but youre not gonna break my soul my soul this is the part of me that youre never gonna ever take away from me no   this is the part of me no away from me no this is the part of me me me me me me me me me no throw your sticks and your stones throw your bombs and your blows but youre not gonna break my soul this is the part of me that youre never gonna ever take away from me no,0.003,0.027,0.504,0.407,0.007,0.022,0.005,0.008,0.018,0.019,0.033,0.092,0.006,0.004,0.013,0.001,0.003,0.003,0.001,0.005,0.01,0.002,0.004,0.003,0.002,0.011,0.003,0.339
Katy Perry,Ur So Gay,your mind may refuse to believe your mind may refuse to believe   i hope you hang yourself with your hm scarf while jacking off listening to mozart you bitch and moan about la wishing you were in the rain reading hemingway you don't eat meat and drive electrical cars you're so indie rock its almost an art you need spf 45 just to stay alive   you're so gay and you don't even like boys no you don't even like no you don't even like no you don't even like boys you're so gay and you don't even like boys no you don't even like no you don't even like no you don't even like   you're so sad maybe you should buy a happy meal youre so skinny you should really super size the deal secretly you're so amused that nobody understands you i'm so mean 'cause i cannot get you out of your head i'm so angry 'cause youd rather myspace instead i can't believe i fell in love with someone that wears more makeup and   you're so gay and you don't even like boys no you don't even like no you don't even like no you don't even like boys you're so gay and you don't even like boys no you don't even like no you don't even like no you don't even like  breakdown hey oh whoaohohoh la la la la la la do do do bah bah bah do do do da da day you're so gay you're so gay   you walk around like you're oh so debonair you pull 'em down and there's really nothing there i wish you would just be real with me   you're so gay and you don't even like boys no you don't even like no you don't even like no you don't even like boys you're so gay and you don't even like boys no you don't even like no you don't even like oh no no no no no no no you're so gay and you don't even like boys no you don't even like no you don't even like no you don't even like boys you're so gay and you don't even like boys no you don't even like no you don't even like   no you don't even like penis,0.002,0.004,0.344,0.314,0.008,0.038,0.005,0.006,0.009,0.032,0.125,0.033,0.005,0.002,0.008,0.001,0.002,0.002,0.001,0.004,0.025,0.002,0.005,0.003,0.002,0.013,0.003,0.36
Katy Perry,Small Talk,isn't it strange that you used to know me all the highs and lows and inbetweens and now you see me and just say hey isn't it weird that you've seen me naked we had conversations 'bout forever now it's 'bout the weather okay  pre and i just can't believe we went from strangers to lovers to strangers in a lifetime now just memories we've gone from strangers to lovers to strangers yeah   acting like we never met faking like we'd just forget we were lovers and now there's nothing left but small talk had every inch of your skin there's nowhere your hands haven't been ain't it funny 'cause now there's nothing left but small talk   isn't it wild that i know your weakness and everybody at the party thinks that you're the best since sliced bread and isn't it awkward i got a new somebody and honestly it'll probably be a while before we can just be friends  pre i just can't believe we went from strangers to lovers to strangers in a lifetime now just memories we've gone from strangers to lovers to strangers small talk   acting like we never met faking like we'd just forget we were lovers and now there's nothing left but small talk had every inch of your skin there's nowhere your hands haven't been hands haven't been ain't it funny 'cause now there's nothing left but small talk  post blahblahblahblah blahblahblahblah blahblahblahblah now there's nothing left but small talk blahblahblahblah nothing left nothing left baby blahblahblahblah nah blahblahblahblah oh no now there's nothing left but small talk   and i just can't believe we went from strangers to lovers to strangers   acting like we never met faking like we'd just forget we were lovers and now there's nothing left but small talk had every inch of your skin there's nowhere your hands haven't been oh ain't it funny 'cause now there's nothing left but small talk now there's nothing left but small talk  post blahblahblahblah blahblahblahblah blahblahblah blahblahblahblah now there's nothing left but small talk now there's nothing left blahblahblahblah blahblahblahblah small talk blahblahblahblah now there's nothing left but small talk,0.004,0.007,0.008,0.021,0.004,0.002,0.181,0.421,0.001,0.006,0.01,0.004,0.004,0.009,0.003,0.002,0.001,0.004,0.002,0.002,0.002,0.001,0.016,0.002,0.001,0.004,0.158,0.42
Katy Perry,"They ask you how you are, and you just have to say you?e fine",you know sometimes you can be blinded by your extreme emotions i definitely was looking for answers during that time when i wrote that song and yeah i was depressed and sad and there were thoughts but there were never actions thankfully but i wanted to share that side of my story because i know there are so many other people out there that have gone through things like that and you always feel like youre the only one going through that you walk out the door and you see someone you know and they ask you how you are and you just have to say youre fine when youre not really fine but you just cant get into it because they would never understand well then comes along a song that speaks to you that makes you feel like gosh i can get through this if she can get through this i can get through this',0.003,0.007,0.008,0.019,0.02,0.05,0.012,0.01,0.007,0.063,0.008,0.005,0.006,0.01,0.017,0.005,0.008,0.012,0.013,0.015,0.019,0.005,0.02,0.006,0.016,0.741,0.004,0.15
Katy Perry,Power,i was fine before i met you truth is that i lost myself inside you it is not fair to put all that on you but you took control of a vulnerable soul yeah i am my mothers daughter and there are so many things i love about her but i have i have to break the cycle so i can sit first at the dinner table   you can't clip my wings can't wilt my flowers stole my time but i'll make up the hours 'cause i'm a goddess and you know it some respect you better show it i'm done with you siphoning my power power   hell hath no fury like a woman reborn and now i'm burning like a blue flame once more but don't mistake my warmth for weakness don't bite the hand that feeds or you'll you'll never eat nooh   you can't clip my wings can't wilt my flowers stole my time but i'll make up the hours 'cause i'm a goddess and you know it some respect you better show it i'm done with you siphoning my power power hey   and now i'm taking it back electric as fuck c'mon you can't quiet this thunder no noohoh yeah i'm taking it back lit all the way up even in the dark i glow i glow i glow   you can't clip my wings can't wilt my flowers stole my time but i'll make up the hours oh 'cause i'm a goddess and you know it some respect you better show it i'm done with you siphoning my power power,0.005,0.001,0.014,0.063,0.109,0.124,0.005,0.002,0.007,0.137,0.067,0.007,0.005,0.003,0.034,0.002,0.002,0.002,0.006,0.013,0.027,0.004,0.045,0.005,0.003,0.112,0.002,0.319
Katy Perry,Thinking of You,comparisons are easily done once you've had a taste of perfection like an apple hanging from a tree i picked the ripest one i still got the seed  pre  you said move on where do i go i guess second best is all i will know   'cause when i'm with him i am thinking of you thinking of you thinking of you thinking of you what you would do if you were the one who was spending the night spending the night spending the night oh i wish that i was looking into your eyes   you're like an indian summer in the middle of winter like a hard candy with a surprise center how do i get better once i've had the best you said there's tons of fish in the water so the waters i will test  pre  he kissed my lips i taste your mouth i taste your mouth oh he pulled me in i was disgusted with myself   'cause when i'm with him i am thinking of you thinking of you thinking of you thinking of you what you would do if you were the one who was spending the night spending the night spending the night oh i wish that i was looking into your   the best and yes i do regret how i could let myself let you go now now the lesson's learned i touched it i was burned oh i think you should know   'cause when i'm with him i am thinking of you thinking of you thinking of you thinking of you oh what you would do if you were the one who was spending the night spending the night spending the night oh i wish that i was looking into your your eyes looking into your eyes looking into your eyes oh won't you walk through and bust in the door and take me away oh no more mistakes   'cause in your eyes i'd like to stay stay,0.099,0.004,0.001,0.005,0.409,0.011,0.003,0.002,0.008,0.003,0.003,0.001,0.001,0.011,0.001,0.004,0.001,0.038,0.004,0.001,0.036,0.002,0.032,0.002,0.001,0.001,0.002,0.363
Katy Perry,Cry About It Later,i'll cry about it later i'll cry about it later tonight i'm havin' fun tonight i'm havin' fun i'll cry about it later i'll cry about it later tonight i'm gettin' some tonight i'm gettin' something brand new   i know tomorrow i'll be love hungover but i'm ready for a shameless summer champagne on ice only makes you stronger  pre pourin' it pourin' it pourin' it nonstop ah drinkin' it drinkin' it drinkin' it all up ah body to body i almost forgot you're not him you're not her   i'll cry about it later i'll cry about it later tonight i'm havin' fun tonight i'm havin' fun i'll cry about it later i'll cry about it later tonight i'm gettin' some tonight i'm gettin' something brand new   i think i'm ready to be someone's new muse i think i'm ready for a brand new tattoo give me it i'm gonna fake it 'til it makes me feel good  pre pourin' it pourin' it pourin' it nonstop one more ah ooh drinkin' it drinkin' it drinkin' it all up ah ooh body to body i almost forgot you're not him you're not her yeah   i'll cry about it later i'll cry about it later tonight i'm havin' fun tonight i'm havin' fun i'll cry about it later i'll cry about it later tonight i'm gettin' some tonight i'm gettin' some i'll cry about it later i'll cry about it later tonight i'm havin' fun tonight i'm havin' fun i'll cry about it later i'll cry about it later tonight i'm gettin' some tonight i'm gettin' something brand new   ooh i know tomorrow i'll be love hungover ooh and it's half past three past three and i got angel wings wings but a devil's grin and only one can win no no no no   i'll cry about it later i'll cry about it later tonight i'm havin' fun tonight i'm havin' fun i'll cry about it later i'll cry about it later tonight i'm gettin' some tonight i'm gettin' some ooh ooh i'll cry about it later i'll cry about it later tonight i'm havin' fun tonight i'm havin' fun ooh i'll cry about it later i'll cry about it later i'll cry about it later tonight i'm gettin' some tonight i'm gettin' something brand new,0.021,0.748,0.011,0.012,0.009,0.016,0.009,0.007,0.018,0.01,0.005,0.01,0.006,0.02,0.013,0.032,0.006,0.255,0.024,0.005,0.027,0.006,0.009,0.008,0.015,0.192,0.007,0.017
Katy Perry,D j? Vu,i live off the echoes of your i love you's but i still feel the blows from all of your don't want to's yeah when you're drunk you say im the one then you wake up you suck my hope up in a vacuum   'cause every day's the same definition of insane i think we're running on a loop d j? vu so tell me something new figure out the rubik's cube i think we're running on a loop d j? vu   your words are like chinese water torture and there's no finish line always one more corner yeah they slither like a centipede why do you keep me at the end of a rope that keeps getting shorter   'cause every day's the same definition of insane i think we're running on a loop d j? vu so tell me something new figure out the rubik's cube i think we're running on a loop d j? vu      'cause every day's the same definition of insane i think we're running on a loop d j? vu so tell me something new something new figure out the rubik's cube i think we're running on a loop d j? vu d j? d j? d j? vu 'cause every days the same every day's the same definition of insane definition of insane i think we're running on a loop d j? vu d j? d j? d j? vu   d j? vu,0.01,0.004,0.01,0.015,0.029,0.027,0.006,0.004,0.011,0.011,0.012,0.003,0.002,0.003,0.004,0.003,0.001,0.007,0.823,0.002,0.009,0.002,0.007,0.002,0.001,0.022,0.002,0.105
Katy Perry,Roulette,i'm uptight playing by the rules in this game of life 65 days on the grind something's stirring i might need to unwind then there's you texting me a little bubble of trouble i've tried to ignore these thoughts that rumble i think i'm bored of being so careful  pre big city lights got me flirting with fire tonight i'ma let my hair down have a few rounds and just let go   like roulette oohooh wanna close my eyes and roll it with you like roulette oohooh wanna lose control and forget with you like roulette ahahahah let's roll it ahahahah   they say everything in moderation and sometimes you got to give in to temptation so i drop a pin to my location let's roll the dice  pre big city lights got me flirting with fire tonight i'ma let my hair down have a few rounds and just let go   like roulette oohooh wanna close my eyes and roll it with you like roulette oohooh wanna lose control and forget with you oh like roulette ahahahah let's roll it ahahahah like roulette ahahahah let's roll it ahahahah   so tonight we test limits test limits take the safety off for a minute for a minute 'cause my love's a bullet with your name written on it just load it and spin it   like roulette oohooh wanna close my eyes and roll it with you close my eyes with you like roulette oohooh wanna lose control and forget with you lose control lose control like roulette ahahahah let's roll it ahahahah let's roll it like roulette ahahahah like roulette wanna close my eyes and roll it with you like roulette,0.017,0.01,0.012,0.137,0.04,0.018,0.011,0.026,0.12,0.145,0.049,0.008,0.008,0.033,0.013,0.002,0.006,0.009,0.002,0.02,0.355,0.004,0.069,0.01,0.002,0.015,0.018,0.426
Katy Perry,Peacock,refrain i wanna see your peacockcockcock your peacockcock your peacockcockcock your peacock i wanna see your peacockcockcock your peacockcock your peacockcockcock your peacock   word on the street you got somethin' to show me me magical colorful mr mystery i'm intrigued for a peek heard it's fascinating c'mon baby let me see what you hiding underneath what's up your sleeve such a tease wanna see the show in d a movie heard it's beautiful be the judge and my girls gonna take a vote c'mon baby let me see what you hiding underneath  pre i want the jawdropping eyepopping headturning bodyshocking ohohayo ohoh ayo i want my heart throbbing ground shaking show stopping amazing ohohayo ohoh ayo   are you brave enough to let me see your peacock don't be a chicken boy stop acting like a biotch i'ma peace out if you don't give me the payoff c'mon baby let me see what you hiding underneath are you brave enough to let me see your peacock whatcha waiting for it's time for you to show it off don't be a shy kind of guy i bet it's beautiful c'mon baby let me see what you hiding underneath  refrain i wanna see your peacockcockcock your peacockcock your peacockcockcock your peacock i wanna see your peacockcockcock your peacockcock your peacockcockcock your peacock i wanna see your   skip the talk heard it all time to walk the walk break me off if you bad show me who's the boss need some goose to get loose come on take a shot c'mon baby let me see what you hiding underneath  pre i want the jawdropping eyepopping headturning bodyshocking ohayo ohoh ayo i want my heart throbbing ground shaking show stopping amazing ohayo ohoh ayo   are you brave enough to let me see your peacock don't be a chicken boy stop acting like a biotch i'ma peace out if you don't give me the payoff c'mon baby let me see what you hiding underneath are you brave enough to let me see your peacock whatcha waiting for it's time for you to show it off don't be a shy kind of guy i bet it's beautiful c'mon baby let me see what you hiding underneath  refrain i wanna see your peacockcockcock your peacockcock your peacockcockcock your peacockcock   oh my god no exaggeration boy all this time was worth the waiting i just shed a tear i am so unprepared you got the finest architecture end of the rainbowlooking treasure such a sight to see and it's all for me   are you brave enough to let me see your peacock don't be a chicken boy stop acting like a biotch i'ma peace out if you don't give me the payoff c'mon baby let me see what you hiding underneath ohoh are you brave enough to let me see your peacock ohohoh whatcha waiting for it's time for you to show it off ohohoh don't be a shy kind of guy i bet it's beautiful c'mon baby let me see  refrain i wanna see your peacockcockcock your peacockcock i wanna see your your peacockcockcock your peacock ooh i wanna see your i wanna see your peacockcockcock your peacockcock i wanna see your c'mon baby let me see what you hiding underneath,0.006,0.034,0.015,0.017,0.011,0.018,0.011,0.043,0.096,0.003,0.007,0.002,0.001,0.016,0.002,0.001,0.002,0.007,0.011,0.002,0.022,0.002,0.004,0.001,0.001,0.004,0.005,0.694
Katy Perry,Miss You More,saw your picture on accident your face has changed the lines are sinking in i pressed play i should haven't congratulations but do you ever wonder what we could have been i wonder what we could have been  pre  but your mind plays tricks with distance always makes things feel so unfinished   i miss you more than i loved you i do i miss you more than i loved you i wonder what we could have been i miss you more than i loved you i do i miss you more than i loved you i wonder what we could have been   i saw a balloon floating away i thought did someone let go or did they lose it so strange you know all my secrets please keep them safe and darling you know that i'll do the same you know that i'll do the same  pre  though we're no longer in existence baby you'll always be in my orbit   i miss you more than i loved you i do i miss you more than i loved you i wonder what we could have been i miss you more than i loved you oh i do i miss you more than i loved you   we were a match but not a fit we were a dream unrealistic we didn't lose we didn't win sometimes i wonder what we could have been oh   i miss you more than i loved you oh i do i miss you more than i loved you i wonder what we could have been i miss you more than i loved you though we're no longer in existence oh i do i miss you more than i loved you you'll always be in my orbit   ohhohohoh you'll always be in my orbit noohohohoh you'll always be in my orbit,0.037,0.009,0.01,0.016,0.004,0.001,0.062,0.205,0.002,0.015,0.015,0.005,0.007,0.041,0.004,0.007,0.002,0.014,0.006,0.003,0.004,0.003,0.029,0.004,0.002,0.007,0.715,0.149
